state,district,block,village,selected_vlcode,rainfall_condition,surface_water_condition,flood_condition,drainage_condition,water_condition_overall,water_condition_tier,water_condition_status,water_condition_rank,rainfall_mean_2021_2025_mm,rainfall_cv_percent,rainfall_2025_anomaly_percent,surface_water_score,surface_water_status,flood_susceptibility_exposure,flood_susceptibility_condition,drainage_connectivity_condition
Chhattisgarh,Kanker,Kanker,Albeda Gram Panchayat,447832,0.669643,0.6679,0.685228,0.0,0.574216,Moderate,Complete,12.0,1592.1014871448683,10.919468749851625,14.111711154236662,66.79,VALID,0.314772,0.685228,0.0
Chhattisgarh,Kanker,Kanker,Daspur,447876,0.582143,0.23929999999999998,0.161685,0.508763,0.338265,Low,Complete,48.0,1508.4070159225626,9.135104300005937,14.070011196127776,23.93,VALID,0.838315,0.161685,0.508763
Chhattisgarh,Kanker,Kanker,Dhanelikanhar,447792,0.592857,0.7421,0.592957,0.036757,0.546788,Moderate,Complete,19.0,1523.4416399519382,10.527434785957835,13.780641987704492,74.21,VALID,0.407043,0.592957,0.036757
Chhattisgarh,Kanker,Kanker,Sidesar,447872,0.503571,0.3125,0.591482,0.238943,0.446878,Moderate,Complete,32.0,1475.776105457799,10.56100350028626,16.194407886818773,31.25,VALID,0.408518,0.591482,0.238943
Chhattisgarh,Kondagaon,Kondagaon,Borgaon,448765,0.714286,0.7103,0.926316,0.0,0.680357,High,Complete,2.0,1680.7339820445843,16.50653255876568,13.483003067140094,71.03,VALID,0.073684,0.926316,0.0
Chhattisgarh,Kondagaon,Kondagaon,Chhote Banjoda,448792,0.730357,0.6154999999999999,0.963158,0.0,0.67357,High,Complete,3.0,1659.4014013924875,15.048504148393077,11.7125507966313,61.55,VALID,0.036842,0.963158,0.0
Chhattisgarh,Kondagaon,Kondagaon,Chinchdongari,448675,0.725,0.5088,0.957895,0.0,0.643713,High,Complete,4.0,1679.349543556284,15.573520981021188,13.24562805232139,50.88,VALID,0.042105,0.957895,0.0
Chhattisgarh,Kondagaon,Kondagaon,Chipawand,448803,0.773214,0.7031000000000001,0.910526,0.0,0.687763,High,Complete,1.0,1654.422147174566,13.75148540241447,7.900192391127511,70.31,VALID,0.089474,0.910526,0.0
Chhattisgarh,Kondagaon,,Vanusari,448824,,0.0,0.821053,0.4,,No Data,Incomplete,,,,,,NO_QUALIFYING_WATER_PIXELS,0.178947,0.821053,0.4
Chhattisgarh,Rajnandgaon,Dongargaon,Bargaon,441141,0.575,0.7156,0.447919,0.281124,0.52159,Moderate,Complete,23.0,1543.7576321587362,11.203172406913918,15.894423931057744,71.56,VALID,0.552081,0.447919,0.281124
Chhattisgarh,Rajnandgaon,Dongargaon,Cha Tolagaon (Chamarrai Tolagaon),441189,0.5125,0.7229000000000001,0.152527,0.408286,0.423477,Moderate,Complete,38.0,1536.2392505756766,13.574201266353535,16.847234731503804,72.29,VALID,0.847473,0.152527,0.408286
Chhattisgarh,Rajnandgaon,Dongargaon,Margaon,441118,0.607143,0.9134,0.413677,0.246496,0.561897,Moderate,Complete,15.0,1548.8381393407678,11.844470467238756,15.094544803518442,91.34,VALID,0.586323,0.413677,0.246496
Chhattisgarh,Rajnandgaon,Dongargaon,Sonesarar,441182,0.507143,0.8036,0.27945,0.349678,0.477945,Moderate,Complete,30.0,1535.894214529597,12.825253850153295,17.424898929808155,80.36,VALID,0.72055,0.27945,0.349678
Chhattisgarh,Rajnandgaon,Dongargaon,Tumdibod,441109,0.498214,0.5995,0.8,0.0,0.554428,Moderate,Complete,17.0,1479.7635419814635,12.673429589383378,16.136696896762405,59.95,VALID,0.2,0.8,0.0
Jharkhand,Palamu,Satbarwa,Ghutua,366471,0.201786,0.4625,0.760927,0.0,0.432396,Moderate,Complete,36.0,1321.143195008258,26.007311552294293,34.82046193115243,46.25,VALID,0.239073,0.760927,0.0
Jharkhand,Palamu,Satbarwa,Rabda,366434,0.178571,0.2259,0.412933,0.394942,0.304886,Low,Complete,52.0,1285.0021483128542,27.821026674531385,37.53989270200516,22.59,VALID,0.587067,0.412933,0.394942
Jharkhand,Ramgarh,Gola,Rakua,369189,0.342857,0.0,0.905263,0.058428,0.41132,Moderate,Complete,39.0,1548.623493853671,27.76296257801423,18.26861375147554,,NO_QUALIFYING_WATER_PIXELS,0.094737,0.905263,0.058428
Jharkhand,Ramgarh,Gola,Upar Barga,369276,0.323214,0.7445999999999999,0.879188,0.0,0.574669,Moderate,Complete,11.0,1487.293926112044,25.98178198636734,15.996756768931691,74.46,VALID,0.120812,0.879188,0.0
Jharkhand,Ranchi,Angara,Nawagarh,373706,0.503571,0.4771,0.973684,0.066626,0.595951,Moderate,Complete,7.0,1610.0751190080243,24.057606713725725,15.498316640730245,47.71,VALID,0.026316,0.973684,0.066626
Jharkhand,Ranchi,Angara,Rajadera,373696,0.523214,0.3911,0.994737,0.0,0.576736,Moderate,Complete,10.0,1625.090943314152,23.581804951944108,16.208993916690915,39.11,VALID,0.005263,0.994737,0.0
Jharkhand,Ranchi,Bero,Hulsi,374364,0.507143,0.22219999999999998,0.989474,0.075837,0.540027,Moderate,Complete,21.0,1641.116689743117,23.8024765557886,21.810193875386524,22.22,VALID,0.010526,0.989474,0.075837
Jharkhand,West Singhbhum,Noamundi,Latar Kundrijod,377902,0.367857,0.0,0.984211,0.0,0.436438,Moderate,Complete,35.0,1544.773254909315,21.21448905497932,22.344019371627347,,NO_QUALIFYING_WATER_PIXELS,0.015789,0.984211,0.0
Madhya Pradesh,Alirajpur,Sondwa,Temla,505425,0.514286,0.4375,0.952632,0.090878,0.584999,Moderate,Complete,9.0,1036.3777519761,3.724258123646979,5.885629215808697,43.75,VALID,0.047368,0.952632,0.090878
Madhya Pradesh,Barwani,Rajpur,Ekalbara,478323,0.396429,0.2978,0.447215,0.251773,0.367848,Low,Complete,44.0,907.230644430819,7.816526312827341,7.577731184711939,29.78,VALID,0.552785,0.447215,0.251773
Madhya Pradesh,Barwani,Rajpur,Sali,475283,0.444643,0.38689999999999997,0.65813,0.0,0.438231,Moderate,Complete,34.0,1007.3979429663152,7.800384659680539,9.546179156809645,38.69,VALID,0.34187,0.65813,0.0
Madhya Pradesh,Dewas,Khategaon,Richi,474255,0.467857,0.2978,0.805263,0.0,0.473256,Moderate,Complete,31.0,1393.2429957839097,20.29225319654256,-1.7434662205556426,29.78,VALID,0.194737,0.805263,0.0
Madhya Pradesh,Dewas,Khategaon,Sukhedi,474363,0.433929,0.0,0.763158,0.0,0.375588,Low,Complete,43.0,1479.745637126802,20.583544680804376,4.747200052035291,,NO_QUALIFYING_WATER_PIXELS,0.236842,0.763158,0.0
Madhya Pradesh,Dhar,Manawar,Chikali,475622,0.426786,0.8913,0.5129,0.142684,0.530439,Moderate,Complete,22.0,979.0652583633196,7.528431630067233,8.653267594163589,89.13,VALID,0.4871,0.5129,0.142684
Madhya Pradesh,Dhar,Manawar,Dedla,475635,0.394643,0.3222,0.712776,0.0,0.428682,Moderate,Complete,37.0,973.189682905381,8.173694233835109,10.0906925517039,32.22,VALID,0.287224,0.712776,0.0
Madhya Pradesh,Jhabua,Petlawad,Mor,504250,0.605357,0.8328,0.451887,0.282217,0.560032,Moderate,Complete,16.0,1203.203321045802,5.707471607558595,2.347261953532444,83.28,VALID,0.548113,0.451887,0.282217
Madhya Pradesh,Jhabua,Petlawad,Naharpura,504306,0.646429,0.0,0.942105,0.0,0.491344,Moderate,Complete,28.0,1210.5886932710869,4.541047829031778,-1.7179000393815071,,NO_QUALIFYING_WATER_PIXELS,0.057895,0.942105,0.0
Madhya Pradesh,Jhabua,Petlawad,Ramgarh,504237,0.596429,0.24539999999999998,0.873684,0.0,0.516247,Moderate,Complete,25.0,1167.762285126555,5.21289812017911,2.1434709767307143,24.54,VALID,0.126316,0.873684,0.0
Madhya Pradesh,Jhabua,Thandla,Bhimkund,504141,0.603571,0.30269999999999997,0.609979,0.385873,0.497941,Moderate,Complete,27.0,1191.4653940320118,3.559117624133489,3.2970518223558787,30.27,VALID,0.390021,0.609979,0.385873
Madhya Pradesh,Sehore,Budni,Ratanpur,483578,0.566071,0.31489999999999996,0.84033,0.014746,0.51657,Moderate,Complete,24.0,1588.2539001484784,24.546767236870547,-1.4054709431954324,31.49,VALID,0.15967,0.84033,0.014746
Madhya Pradesh,Sehore,Budni,Sagonia,483585,0.544643,0.0,0.868421,0.0,0.440108,Moderate,Complete,33.0,1558.388917768492,24.06385681120605,-1.799137793974422,,NO_QUALIFYING_WATER_PIXELS,0.131579,0.868421,0.0
Uttar Pradesh,Aligarh,Tappal,Pakhodna,121756,0.380357,0.0,0.208913,0.006687,0.169212,Very Low,Complete,56.0,907.8863322829736,13.36703948807779,3.1470478805381195,,NO_QUALIFYING_WATER_PIXELS,0.791087,0.208913,0.006687
Uttar Pradesh,Aligarh,Tappal,Ranjit Gadhi,157937,0.457143,0.0,0.713158,0.0,0.363891,Low,Complete,46.0,1033.5921751740975,11.84905666716347,2.3886370563185864,,NO_QUALIFYING_WATER_PIXELS,0.286842,0.713158,0.0
Uttar Pradesh,Bahraich District,Mihinpurwa Block,Manjhra,171244,0.416071,0.0,0.195433,0.0,0.172419,Very Low,Complete,55.0,1324.5450484124883,20.26371353281601,3.452623030291368,,NO_QUALIFYING_WATER_PIXELS,0.804567,0.195433,0.0
Uttar Pradesh,Bahraich District,Mihinpurwa Block,Ram Nagar Kanda,172158,0.246429,0.0,0.731579,0.0,0.31766,Low,Complete,51.0,1378.3579125147469,24.074803804599377,-22.156490982827403,,NO_QUALIFYING_WATER_PIXELS,0.268421,0.731579,0.0
Uttar Pradesh,Banda,Naraini,Pathra,116205,0.525,0.0,0.713158,0.0,0.380855,Low,Complete,42.0,1122.822043660785,8.24401484798964,-3.33547919132517,,NO_QUALIFYING_WATER_PIXELS,0.286842,0.713158,0.0
Uttar Pradesh,Banda,Naraini,Rehunchi,155441,0.398214,0.0,0.757895,0.261682,0.404069,Moderate,Complete,40.0,1127.7375611299842,15.45416491230958,7.037956025965361,,NO_QUALIFYING_WATER_PIXELS,0.242105,0.757895,0.261682
Uttar Pradesh,Hamirpur District,Muskara Block,Kaimokhar,154143,0.091071,0.3771,0.713158,0.0,0.366648,Low,Complete,45.0,900.9289843922104,18.67263567643032,25.83005608521697,37.71,VALID,0.286842,0.713158,0.0
Uttar Pradesh,Mirzapur District,Chhanvey Block,Bagheda Khurd,211068,0.410714,0.0,0.62323,0.0,0.320809,Low,Complete,50.0,1105.1202524108637,14.20484192708686,4.5278256071216285,,NO_QUALIFYING_WATER_PIXELS,0.37677,0.62323,0.0
Uttar Pradesh,Mirzapur District,Chhanvey Block,Balapur,211224,0.435714,0.0,0.39871,0.058351,0.25723,Low,Complete,54.0,1118.7082958974083,14.91142152468573,2.389895516608556,,NO_QUALIFYING_WATER_PIXELS,0.60129,0.39871,0.058351
Uttar Pradesh,Prayagraj,Koraon,Devghat Â· Belhat,163727,0.342857,0.16,0.446223,0.100353,0.296945,Low,Complete,53.0,1109.0658709873642,14.995548203684413,13.895627347952876,16.0,VALID,0.553777,0.446223,0.100353
Uttar Pradesh,Varanasi District,Arajilines Block,Bhedaha,209096,0.344643,0.0,0.713158,0.0,0.335766,Low,Complete,49.0,991.1221978029674,16.73725089068695,-1.8812066627354007,,NO_QUALIFYING_WATER_PIXELS,0.286842,0.713158,0.0
Uttar Pradesh,Varanasi District,Arajilines Block,Dindaspur,209731,0.355357,0.0,0.713158,0.0,0.338445,Low,Complete,47.0,997.7378567413892,16.791053045900618,-1.775417628927533,,NO_QUALIFYING_WATER_PIXELS,0.286842,0.713158,0.0
