state,village,built_up_score,road_score,mining_score,human_pressure_score,human_pressure_class,human_pressure_rank
CG,Karpawand,0.7117,0.8469934569104938,0.3852406931600352,0.6543502450211587,Low Pressure,27
MP,Naharpura,0.7648,0.970002380816694,0.2041881405959767,0.6581771564238011,Low Pressure,28
CG,Chipawand,0.8287,0.5869467042017796,0.5057654979353805,0.659293660641148,Low Pressure,29
CG,Ghotpal,0.8816,0.8879509832192474,0.1366989229655044,0.6600349718554255,Low Pressure,30
JH,Ghutua,0.8428,0.9408598852879848,0.1355554323721329,0.6600445952980354,Low Pressure,31
JH,Latar Kundrijhor,0.914,0.9988920881987422,0.0,0.6652676264596227,Low Pressure,32
UP,Devghat,0.8642,0.744153035148449,0.3392535982386415,0.6707019900161271,Low Pressure,33
UP,Ranjitgarh,0.2175,1.0,0.947756867959096,0.6713270603877288,Low Pressure,34
CG,Chhindnar,0.93,0.8438194335135636,0.1579359543858903,0.6725266163698362,Low Pressure,35
CG,Chamarray Tolagaon,0.9897,0.9317829521858516,0.0,0.6754148856557555,Low Pressure,36
MP,Sali,0.7031,1.0,0.3803884974127105,0.6953565492238132,Low Pressure,37
UP,Kaimokhar,0.7929,0.7721079134625363,0.5280810537235814,0.7072166901558353,Low Pressure,38
CG,Hidpal,0.9556,0.9347579599001484,0.1687222966691226,0.7132840769707813,Low Pressure,39
CG,Ulnar,0.9037,0.81633599765,0.3592366061967655,0.7141517811540297,Low Pressure,40
MP,Chikali,0.7369,1.0,0.4173161359913995,0.7199548407974198,Low Pressure,41
MP,Ekalbara,0.6388,0.9365111224585754,0.6178733008454651,0.7218353269912122,Low Pressure,42
UP,Pakhodana,0.6496,0.8947058325517732,0.6456174857413323,0.7219369954879316,Low Pressure,43
CG,Pharasgaon,0.844,0.95022061814501,0.3635923853354026,0.7317439010441237,Low Pressure,44
JH,Hulsi,0.9967,0.9480255471975962,0.1694881270539224,0.7339341022754556,Low Pressure,45
MP,Temla,0.8537,0.9474335555445754,0.4172188484288999,0.7508757211920425,Low Pressure,46
CG,Borgaon,0.8768,0.9440731023482604,0.4054477180286084,0.7555762461130606,Low Pressure,47
MP,Khedi,0.7741,1.0,0.5253203485960046,0.7672361045788013,Low Pressure,48
MP,Sagonia,0.9653,0.8573225885062927,0.435597541248569,0.7739960389264586,Low Pressure,49
CG,Choknar,0.9594,0.9258288047178396,0.4109401885038359,0.7847906979665027,Low Pressure,50
CG,Kohkapal,1.0,0.9409851930092414,0.3565154182925611,0.7892501833905409,Low Pressure,51
MP,Richhi,0.7561,1.0,0.6452073544791641,0.7960022063437493,Low Pressure,52
CG,Chichdongari,0.966,0.9328764865272344,0.454390192252682,0.802580003633975,Very Low Pressure,53
MP,Ratanpur,0.9554,1.0,0.4142615617762817,0.8064384685328846,Very Low Pressure,54
CG,Usari,1.0,1.0,0.4031067937884777,0.8209320381365433,Very Low Pressure,55
CG,Chhotebanjoda,1.0,0.9460450806267482,0.4767328498931851,0.8268333791559801,Very Low Pressure,56
UP,Majhara,0.6157,1.0,1.0,0.8462799999999999,Very Low Pressure,57
